Term,Translation,Context,Reference,Comment
Ability,,Ability,,Creature’s physical or mental characteristic.
Ability Check,,Ability,,
Ability Score,,Ability,,A number that defines the magnitude of that ability.
Ability Score Increase,,Ability,,
Abyssal,,Language,,The language of demons.
Acolyte,,Background,,
Acrobatics,,Skill,,Character's control over their balance and attempts to stay on their feet in a tricky situation.
Alignment,,Alignment,,Categorization of the ethical and moral perspective of character.
Animal Handling,,Skill,,"Calming down a domesticated animal, keeping a mount from getting spooked, intuiting an animal's intentions..."
Arcana,,Skill,,"Ability to recall lore about spells, magic items, eldritch symbols, magical traditions, the planes of existence, and the inhabitants of those planes."
Armor Class (AC),,Game Mechanic,,Determined by armor and shield that the character wears.
Athletics,,Skill,,"Covers difficult situations, encountered while climbing, jumping, or swimming."
Attack Bonus,,Game Mechanic,,Bonus on the roll which determines if the attack succeeded.
Background,,Game Mechanic,,"Story cues about character's identity, their experiences and origin."
Bad Reputation,,Background,,
Blindsight,,Game Mechanic,,"A creature with blindsight can perceive its surroundings without relying on sight, within a specific radius."
Bond,,Game Mechanic,,"Things, people, or places that character cares deeply about and would fight to protect."
Carrying Capacity,,Game Mechanic,,The weight that character can carry.
Celestial,,Language,,The language of celestials.
Character Sheet,,Game Mechanic,,
Charisma,,Ability,,Measures character's ability to interact effectively with others.
Charlatan,,Background,,
Class,,Game Mechanic,,
Class Feature,,Game Mechanic,,Character's class gives them a variety of special features.
Common,,Language,,Lingua franca of the Forgotten Realms and of most D&D settings.
Constitution,,Ability,,"Represents character's health, stamina, and vital force."
Criminal,,Background,,
Criminal Contact,,Background,,
Criminal Specialty,,Background,,
Current Hit Points,,Game Mechanic,,"Current ""lives"" left."
Death Saving Throw,,Game Mechanic,,Roll to see if character dies.
Deception,,Skill,,"Determines whether character can convincingly hide the truth, either verbally or through their actions."
Deep Speech,,Language,,"The language of aberrations, an alien form of communication originating in the Far Realm."
Defining Event,,Background (Folk Hero),,
Dexterity,,Ability,,"Encompasses a number of physical attributes including hand-eye coordination, agility, reflexes, fine motor skills, balance and speed of movement."
Difficulty Class (DC),,Game Mechanic,,The difficulty of any given skill check.
Discovery,,Background (Hermit),,
Downtime,,Game Mechanic,,"Time between adventures, and periods during adventurers where nothing “important” is happening."
Draconic,,Language,,Language which has been spoken by dragons since prehistoric times.
Dump Stat,,Game Slang,,"This is the stat that you put your lowest score in, or else don't spend any points on at all."
Dwarvish,,Language,,A family of languages used by dwarves.
Elvish,,Language,,The language of the Tel'Quessir.
Encumbrance,,Game Mechanic,,"If character carries weight in excess, they are encumbered, which means their speed drops by 10 feet."
Entertainer,,Background,,
Entertainer Routine,,Background,,
Experience Points (XP),,Game Mechanic,,"As character goes on adventures and overcomes challenges, they gain experience, represented by experience points."
Expertise,,Game Mechanic,,Class ability that allows a character to double their proficiency bonus on a skill.
False Identity,,Background,,
Feat,,Game Mechanic,,Represents a talent or an area of expertise that gives character special capabilities.
Feature,,Game Mechanic,,
Flaws,,Game Mechanic,,"Sort of like a ""negative feat"", in that it provides a penalty or otherwise hindrance to the character who has it."
Folk Hero,,Background,,
Giant Language,,Language,,
Gladiator,,Background,,
Gnomish,,Language,,
Goblin,,Language,,
Guild Artisan,,Background,,
Guild Membership,,Background,,
Guild Merchant,,Background,,
Halfling,,Language,,
Heavy Encumbrance,,Game Mechanic,,"If character carries weight in excess of 10 times their Strength score, up to their maximum carrying capacity, they are heavily encumbered, which means their speed drops by 20 feet."
Hermit,,Background,,
History,,Skill,,"Measures character's ability to recall lore about historical events, legendary people, ancient kingdoms, past disputes..."
Hit Point Dice,,Game Mechanic,,"Represents both the dice rolled to determine a character or creature's hit points, and a short-rest hit point recovery mechanic."
Hit Point Maximum,,Game Mechanic,,The amount of hit points character has at full health.
Hit Points,,Game Mechanic,,"A number measuring the amount of damage a creature, character, or object can take before being killed, disabled or destroyed."
Ideals,,Game Mechanic,,Beliefs that drive a character.
Infernal,,Language,,
Initiative,,Game Mechanic,,Initiative determines the order of turns during combat.
Insight,,Skill,,"Decides whether character can determine the true intentions of a creature, such as when searching out a lie or predicting someone's next move."
Inspiration,,Game Mechanic,,"Inspiration is a way for DM to reward quick thinking, heroism, or a moment of great roleplaying."
Intelligence,,Ability,,"Measures mental acuity, accuracy of recall, and the ability to reason."
