Term,Translation,Context,Reference,Comment
Copper Pieces (CP),,Currency,,
Electrum Pieces (EP),,Currency,,
Gold Pieces (GP),,Currency,,
Platinum Pieces (PP),,Currency,,
Silver Pieces (SP),,Currency,,
Arcane Focus,,Equipment,,
Belaying Pin,,Equipment,,
Belt Pouch,,Equipment,,
Bottle of Black Ink,,Equipment,,
Burglar's Pack,,Equipment,,
Component Pouch,,Equipment,,
Crowbar,,Equipment,,
Deck of Cards,,Equipment,,
Deck of Marked Cards,,Equipment,,
Diplomat's Pack,,Equipment,,
Disguise Kit,,Equipment,,
Druidic Focus,,Equipment,,
Dungeoneer's Pack,,Equipment,,
Entertainer's Pack,,Equipment,,
Explorer's Pack,,Equipment,,
Favor of an Admirer,,Equipment,,
Forgery Kit,,Equipment,,
Gaming Set,,Equipment,,
Herbalism Kit,,Equipment,,
Holy Symbol,,Equipment,,
Hunting Trap,,Equipment,,
Incense,,Equipment,,
Insignia of Rank,,Equipment,,
Iron Pot,,Equipment,,
Kit (Equipment),,Equipment,,
"Lucky Charm (Rabbit Foot, Trinket)",,Equipment,,
Lute,,Equipment,,
Navigator's Tools,,Equipment,,
Prayer Book,,Equipment,,
Prayer Wheel,,Equipment,,
Priest's Pack,,Equipment,,
Quill,,Equipment,,
Scholar's Pack,,Equipment,,
Scroll of Pedigree,,Equipment,,
Set of Bone Dice,,Equipment,,
Set of Common Clothes,,Equipment,,
Set of Traveler's Clothes,,Equipment,,
Set of Weighted Dice,,Equipment,,
Shovel,,Equipment,,
Signet Ring,,Equipment,,
Signet Ring of an Imaginary Duke,,Equipment,,
Silk Rope,,Equipment,,
Small Knife,,Equipment,,
Staff,,Equipment,,
Ten Stoppered Bottles,,Equipment,,
Thieves' Tools,,Equipment,,
Token,,Equipment,,
Tools of the Con,,Equipment,,
Trophy from an Animal,,Equipment,,
Trophy Taken from a Fallen Enemy,,Equipment,,
Vestments,,Equipment,,
Winter Blanket,,Equipment,,
Ale,,"Food, Drink, Lodgings",,
Banquet,,"Food, Drink, Lodgings",,
Common (pitcher) Wine,,"Food, Drink, Lodgings",,
Fine (Bottle) Wine,,"Food, Drink, Lodgings",,
Gallon,,"Food, Drink, Lodgings",,
Hunk,,"Food, Drink, Lodgings",,
Inn Stay,,"Food, Drink, Lodgings",,
Loaf,,"Food, Drink, Lodgings",,
Meals,,"Food, Drink, Lodgings",,
Mug,,"Food, Drink, Lodgings",,
Abacus,,Gear,,
Acid,,Gear,,
Aclhemist's fire,,Gear,,
Amulet,,Gear,,
Antitoxin,,Gear,,
Backpack,,Gear,,
Ball bearings,,Gear,,
Barrel,,Gear,,
Basket,,Gear,,
Bedroll,,Gear,,
Bell,,Gear,,
Blanket,,Gear,,
Block and Tackle,,Gear,,
Blowgun Needles,,Gear,,
Book,,Gear,,
"Bottle, Glass",,Gear,,
Bucket,,Gear,,
Caltrops,,Gear,,
Candle,,Gear,,
"Case, Crossbow Bolt",,Gear,,
"Case, Map or Scroll",,Gear,,
Chain,,Gear,,
Chalk,,Gear,,
Chest,,Gear,,
