Term,Translation,Context,Reference,Comment
Plane of Existance,,Plane of Existance,,
The Material Plane,,Plane of Existance,,
Material Echoes,,Plane of Existance,,
Feywild,,Plane of Existance,,
Shadowfell,,Plane of Existance,,
Positive Plane,,Plane of Existance,,
Outer Planes,,Plane of Existance,,
Negative Plane,,Plane of Existance,,
Portal,,Plane of Existance,,
Ethereal Plane,,Plane of Existance,,
Astral Plane,,Plane of Existance,,
Elemental Planes,,Plane of Existance,,
Elemental Chaos,,Plane of Existance,,
Upper Planes,,Plane of Existance,,
Lower Planes,,Plane of Existance,,
The Seven Heavens of Mount Celestia,,Plane of Existance,,
The Twin Paradises of Bytopia,,Plane of Existance,,
The Blessed Fields of Elysium,,Plane of Existance,,
The Wilderness of the Beastlands,,Plane of Existance,,
The Olympian Glades of Arborea,,Plane of Existance,,
The Heroic Domains of Ysgard,,Plane of Existance,,
The Ever-Changing Chaos of Limbo,,Plane of Existance,,
The Windswept Depths of Pandemonium,,Plane of Existance,,
The Infinite Layers of the Abyss,,Plane of Existance,,
The Tarterian Depths of Carceri,,Plane of Existance,,
The Grey Waste of Hades,,Plane of Existance,,
The Bleak Eternity of Gehenna,,Plane of Existance,,
The Nine Hells (of Baator),,Plane of Existance,,
The Infinite Battlefield of Acheron,,Plane of Existance,,
The Clockwork Nirvana of Mechanus,,Plane of Existance,,
The Peaceable Kingdoms of Arcadia,,Plane of Existance,,
Gate-Town,,Plane of Existance,,
Demiplane,,Plane of Existance,,
The Far Realm,,Plane of Existance,,
Multiverse,,Multiverse,,
The Forgotten Realms,,Multiverse,,
Greyhawk,,Multiverse,,
Dragonlance,,Multiverse,,
Eberron,,Multiverse,,
Pantheon,,Multiverse,,
Canon,,Multiverse,,
"Auril, Goddess of Winter",,Forgotten Realms Deity,,
"Azuth, God of Wizards",,Forgotten Realms Deity,,
"Bane, God of Tyranny",,Forgotten Realms Deity,,
"Beshaba, Goddess of Misfortune",,Forgotten Realms Deity,,
"Bhaal, God of Murder",,Forgotten Realms Deity,,
"Chauntea, Goddess of Agriculture",,Forgotten Realms Deity,,
"Cyric, God of Lies",,Forgotten Realms Deity,,
"Deneir, God of Writing",,Forgotten Realms Deity,,
"Eldath, Goddess of Peace",,Forgotten Realms Deity,,
"Gond, God of Craft",,Forgotten Realms Deity,,
"Helm, God of Protection",,Forgotten Realms Deity,,
"Ilmater, God of Endurance",,Forgotten Realms Deity,,
"Kelemvor, God of the Dead",,Forgotten Realms Deity,,
"Lathander, God of Birth and Renewal",,Forgotten Realms Deity,,
"Leira, Goddess of Illusion",,Forgotten Realms Deity,,
"Lliira, Goddess of Joy",,Forgotten Realms Deity,,
"Loviatar, Goddess of Pain",,Forgotten Realms Deity,,
"Malar, God of the Hunt",,Forgotten Realms Deity,,
"Mask, God of Thieves",,Forgotten Realms Deity,,
"Mielikki, Goddess of Forests",,Forgotten Realms Deity,,
"Milil, God of Poetry and Song",,Forgotten Realms Deity,,
"Myrkul, God of Death",,Forgotten Realms Deity,,
"Mystra, Goddess of Magic",,Forgotten Realms Deity,,
"Oghma, God of Knowledge",,Forgotten Realms Deity,,
"Savras, god of Divination and Fate",,Forgotten Realms Deity,,
"Selûne, Goddess of the Moon",,Forgotten Realms Deity,,
"Shar, Goddess of Darkness and Loss",,Forgotten Realms Deity,,
"Silvanus, God of Wild Nature",,Forgotten Realms Deity,,
"Sune, Goddess of Love and Beauty",,Forgotten Realms Deity,,
"Talona, Goddess of Disease and Poison",,Forgotten Realms Deity,,
"Talos, God of Storms",,Forgotten Realms Deity,,
"Tempus, God of War",,Forgotten Realms Deity,,
"Torm, God of Courage and Self-sacrifice",,Forgotten Realms Deity,,
"Tymora, Goddess of Good Fortune",,Forgotten Realms Deity,,
"Tyr, God of Justice",,Forgotten Realms Deity,,
"Umberlee, Goddess of the Sea",,Forgotten Realms Deity,,
"Waukeen, Goddess of Trade",,Forgotten Realms Deity,,
"Beory, Goddess of Nature",,Greyhawk Deity,,
"Boccob, God of Magic",,Greyhawk Deity,,
"Celestian, God of Stars and Wanderers",,Greyhawk Deity,,
"Ehlonna, Goddess of Woodlands",,Greyhawk Deity,,
"Erythnul, God of Envy and Slaughter",,Greyhawk Deity,,
"Fharlanghn, God of Horizons and Travel",,Greyhawk Deity,,
"Heironeous, God of Chivalry and Valor",,Greyhawk Deity,,
"Hextor, God of War and Discord",,Greyhawk Deity,,
"Kord, God of Athletics and Sport",,Greyhawk Deity,,
"Incabulos, God of Plague and Famine",,Greyhawk Deity,,
"Istus, Goddess of Fate and Destiny",,Greyhawk Deity,,
"Iuz, God of Pain and Oppression",,Greyhawk Deity,,
"Nerull, God of Death",,Greyhawk Deity,,
"Obad-Hai, God of Nature",,Greyhawk Deity,,
"Olidammara, God of Revelry",,Greyhawk Deity,,
"Pelor, God of the Sun and Healing",,Greyhawk Deity,,
"Pholtus, God of Light and Law",,Greyhawk Deity,,
"Ralishaz, God of Ill Luck and Insanity",,Greyhawk Deity,,
"Rao, God of Peace and Reason",,Greyhawk Deity,,
"St. Cuthbert, God of Common Sense and Zeal",,Greyhawk Deity,,
"Tharizdun, God of Eternal Darkness",,Greyhawk Deity,,
"Trithereon, God of Liberty and Retribution",,Greyhawk Deity,,
"Ulaa, Goddess of Hills and Mountains",,Greyhawk Deity,,
"Vecna, God of Evil Secrets",,Greyhawk Deity,,
"Wee Jas, Goddess of Magic and Death",,Greyhawk Deity,,
"Paladine, God of Rulers and Guardians",,Dragonlance Deity,,
"Branchala, God of Music",,Dragonlance Deity,,
"Habbakuk, God of Animal Life and the Sea",,Dragonlance Deity,,
"Kiri-Jolith, God of Honor and War",,Dragonlance Deity,,
"Majere, God of Meditation and Order",,Dragonlance Deity,,
"Mishakal, Goddess of Healing",,Dragonlance Deity,,
"Solinari, God of Good Magic",,Dragonlance Deity,,
"Gilean, God of Knowledge",,Dragonlance Deity,,
"Chislev, Goddess of Nature",,Dragonlance Deity,,
"Reorx, God of Craft",,Dragonlance Deity,,
"Shinare, Goddess of Wealth and Trade",,Dragonlance Deity,,
"Sirrion, God of Fire and Change",,Dragonlance Deity,,
"Zivilyn, God of Wisdom",,Dragonlance Deity,,
"Lunitari, Goddess of Neutral Magic",,Dragonlance Deity,,
"Takhisis, Goddess of Night and Hatred",,Dragonlance Deity,,
"Chermosh, God of the Undead",,Dragonlance Deity,,
"Hiddukel, God of Lies and Greed",,Dragonlance Deity,,
"Morgion, God of Disease and Secrecy",,Dragonlance Deity,,
"Sargonnas, God of Vengeance and Fire",,Dragonlance Deity,,
"Zeboim, Goddess of the Sea and Storms",,Dragonlance Deity,,
"Nuitari, God of Evil Magic",,Dragonlance Deity,,
"Arawai, Goddess of Fertility",,Eberron Deity,,
"Aureon, God of Law and Knowledge",,Eberron Deity,,
"Balinor, God of Beasts and the Hunt",,Eberron Deity,,
"Boldrei, Goddess of Community and Home",,Eberron Deity,,
"Dol Arrah, Goddess of Sunlight and Honor",,Eberron Deity,,
"Dol Dorn, God of Strength at Arms",,Eberron Deity,,
"Kol Korran, God of Trade and Wealth",,Eberron Deity,,
"Olladra, Goddess of Good Fortune",,Eberron Deity,,
"Onatar, God of Craft",,Eberron Deity,,
The Dark Six,,Eberron Deity,,
"The Devourer, God of Nature's Wrath",,Eberron Deity,,
"The Fury, Goddess of Wrath and Madness",,Eberron Deity,,
"The Keeper, God of Greed and Death",,Eberron Deity,,
"The Mockery, God of Violence and Treachery",,Eberron Deity,,
"The Shadow, God of Dark Magic",,Eberron Deity,,
"The Traveler, Deity of Chaos and Change",,Eberron Deity,,
"The Silver Flame, Deity of Protection and Good",,Eberron Deity,,
"The Blood of Vol, Philosophy of Immortality and Undead",,Eberron Deity,,
"Cults of the Dragon Below, Deities of Madness",,Eberron Deity,,
"The Path of Light, Philosophy of Light and Self-Improvement",,Eberron Deity,,
"The Undying Court, Elven Ancestors",,Eberron Deity,,
"The Spirits of the Past, Elven Ancestors",,Eberron Deity,,
"Bahamut, Dragon God of Good",,Nonhuman Deity (not worshipped by humans),,
"Blibdoolpoolp, Kuo-Toa Goddess",,Nonhuman Deity (not worshipped by humans),,
"Corellon Larethian, Elf Deity of Art and Magic",,Nonhuman Deity (not worshipped by humans),,
"Deep Sashelas, Elf God of the Sea",,Nonhuman Deity (not worshipped by humans),,
"Eadro, Merfolk Deity of the Sea",,Nonhuman Deity (not worshipped by humans),,
"Garl Glittergold, Gnome God of Trickery and Wiles",,Nonhuman Deity (not worshipped by humans),,
"Grolantor, Hill Giant God of War",,Nonhuman Deity (not worshipped by humans),,
"Gruumsh, Orc God of Storms and War",,Nonhuman Deity (not worshipped by humans),,
"Hruggek, Bugbear God of Violence",,Nonhuman Deity (not worshipped by humans),,
