Term,Translation,Context,Reference,Comment
Verbal,,Spell Component,,
Somatic,,Spell Component,,
Material,,Spell Component,,
Instantaneous,,Spell Duration,,
Concentration,,Spell Duration,,
Arcane Magic,,Spellcasting,,
Cantrip,,Spellcasting,,
Magic,,Spellcasting,,
Spell Attack Bonus,,Spellcasting,,
Spell Level,,Spellcasting,,
Spell Save DC,,Spellcasting,,
Spell Slot,,Spellcasting,,
Spellbook,,Spellcasting,,
Spellcasting,,Spellcasting,,
Spellcasting Ability,,Spellcasting,,
Spellcasting Class,,Spellcasting,,
Ritual Casting,,Spellcasting,,
Spellcasting Focus,,Spellcasting,,
Domain,,Spellcasting,,
Domain Spell,,Spellcasting,,
Beast Spell,,Druid Subclass Feature,,
Circle Spell,,Druid Subclass Feature,,
War Magic,,Wizard Subclass Feature,,
Charge (spell-related),,Spellcasting,,
Arcane Charge,,Spellcasting,,
Improved War Magic,,Fighter Subclass Feature,,
Elemental Spell,,Metamagic,,
Oath Spell,,Subclass Feature,,
Careful Spell,,Metamagic,,
Distant Spell,,Metamagic,,
Empowered Spell,,Metamagic,,
Extended Spell,,Metamagic,,
Heightened Spell,,Metamagic,,
Quickened Spell,,Metamagic,,
Subtle Spell,,Metamagic,,
Twinned Spell,,Metamagic,,
Pact Magic,,Warlock Feature,,
Sculpt Spell,,Wizard Subclass Feature,,
Potent Cantrip,,Wizard Subclass Feature,,
Spell Duration,,Spellcasting,,
Spell Component,,Spellcasting,,
Cast a Spell,,Spellcasting,,
