Term,Translation,Context,Reference,Comment
School of Abjuration,,Arcane Tradition,,
School of Conjuration,,Arcane Tradition,,
School of Divination,,Arcane Tradition,,
School of Enchantment,,Arcane Tradition,,
School of Evocation,,Arcane Tradition,,
School of Illusion,,Arcane Tradition,,
School of Necromancy,,Arcane Tradition,,
School of Transmutation,,Arcane Tradition,,
Abjuration Savant,,Arcane Tradition: School of Abjuration,,
Arcane Ward,,Arcane Tradition: School of Abjuration,,
Improved Abjuration,,Arcane Tradition: School of Abjuration,,
Projected Ward,,Arcane Tradition: School of Abjuration,,
Spell Resistance,,Arcane Tradition: School of Abjuration,,
Benign Transposition,,Arcane Tradition: School of Conjuration,,
Conjuration Savant,,Arcane Tradition: School of Conjuration,,
Durable Summons,,Arcane Tradition: School of Conjuration,,
Focused Conjuration,,Arcane Tradition: School of Conjuration,,
Minor Conjuration,,Arcane Tradition: School of Conjuration,,
Divination Savant,,Arcane Tradition: School of Divination,,
Ethernal Sight,,Arcane Tradition: School of Divination,,
Expert Divination,,Arcane Tradition: School of Divination,,
Greater Comprehension,,Arcane Tradition: School of Divination,,
Greater Portent,,Arcane Tradition: School of Divination,,
Portent,,Arcane Tradition: School of Divination,,
See Invisibility,,Arcane Tradition: School of Divination,,
The Third Eye,,Arcane Tradition: School of Divination,,
Alter Memories,,Arcane Tradition: School of Enchantment,,
Enchantment Savant,,Arcane Tradition: School of Enchantment,,
Hypnotic Gaze,,Arcane Tradition: School of Enchantment,,
Instinctive Charm,,Arcane Tradition: School of Enchantment,,
Split Enchantment,,Arcane Tradition: School of Enchantment,,
Empowered Evocation,,Arcane Tradition: School of Evocation,,
Evocation Savant,,Arcane Tradition: School of Evocation,,
Overchannel,,Arcane Tradition: School of Evocation,,
Illusion Savant,,Arcane Tradition: School of Illusion,,
Illusory Reality,,Arcane Tradition: School of Illusion,,
Illusory Self,,Arcane Tradition: School of Illusion,,
Improved Minor Illusion,,Arcane Tradition: School of Illusion,,
Malleable Illusions,,Arcane Tradition: School of Illusion,,
Command Undead,,Arcane Tradition: School of Necromancy,,
Grim Harvest,,Arcane Tradition: School of Necromancy,,
Inured to Undeath,,Arcane Tradition: School of Necromancy,,
Necromancy Savant,,Arcane Tradition: School of Necromancy,,
Undead Thralls,,Arcane Tradition: School of Necromancy,,
Major Transformation,,Arcane Tradition: School of Transmutation,,
Master Transmuter,,Arcane Tradition: School of Transmutation,,
Minor Alchemy,,Arcane Tradition: School of Transmutation,,
Panacea,,Arcane Tradition: School of Transmutation,,
Restore Life,,Arcane Tradition: School of Transmutation,,
Restore Youth,,Arcane Tradition: School of Transmutation,,
Shapechanger,,Arcane Tradition: School of Transmutation,,
Transmutation Savant,,Arcane Tradition: School of Transmutation,,
Transmuter's Stone,,Arcane Tradition: School of Transmutation,,
Divine Domain,,Cleric Domain,,
Knowledge Domain,,Cleric Domain,,
Life Domain,,Cleric Domain,,
Light Domain,,Cleric Domain,,
Nature Domain,,Cleric Domain,,
Tempest Domain,,Cleric Domain,,
Trickery Domain,,Cleric Domain,,
War Domain,,Cleric Domain,,
Circle of the Land,,Druid Circle,,
Circle of the Moon,,Druid Circle,,
Agonizing Blast,,Eldritch Invocation,,
Armor of Shadows,,Eldritch Invocation,,
Ascendant Step,,Eldritch Invocation,,
Beast Speech,,Eldritch Invocation,,
Beguiling Influence,,Eldritch Invocation,,
Bewitching Whispers,,Eldritch Invocation,,
Book of Ancient Secrets,,Eldritch Invocation,,
Chains of Carceri,,Eldritch Invocation,,
Devil's Sight,,Eldritch Invocation,,
Dreadful Word,,Eldritch Invocation,,
Eldritch Sight,,Eldritch Invocation,,
Eldritch Spear,,Eldritch Invocation,,
Eyes of the Rune Keeper,,Eldritch Invocation,,
Fiendish Vigor,,Eldritch Invocation,,
Gaze of Two Minds,,Eldritch Invocation,,
Lifedrinker,,Eldritch Invocation,,
Mask of Many Faces,,Eldritch Invocation,,
Master of Myriad Forms,,Eldritch Invocation,,
Minions of Chaos,,Eldritch Invocation,,
Mire the Mind,,Eldritch Invocation,,
Misty Visions,,Eldritch Invocation,,
One with Shadow,,Eldritch Invocation,,
Otherworldly Leap,,Eldritch Invocation,,
Repelling Blast,,Eldritch Invocation,,
Sculptor of Flesh,,Eldritch Invocation,,
Sign of Ill Omen,,Eldritch Invocation,,
Thief of Five Fates,,Eldritch Invocation,,
Thirsting Blade,,Eldritch Invocation,,
Visions of Distant Realms,,Eldritch Invocation,,
Voice of the Chain Master,,Eldritch Invocation,,
Whispers of the Grave,,Eldritch Invocation,,
Witch Sight,,Eldritch Invocation,,
Breath of Winter,,Elemental Discipline,,
Clench of the North Wind,,Elemental Discipline,,
Elemental Attunement,,Elemental Discipline,,
Eternal Mountain Defense,,Elemental Discipline,,
Fangs of the Fire Snake,,Elemental Discipline,,
Fist of Four Thunders,,Elemental Discipline,,
Fist of Unbroken Air,,Elemental Discipline,,
Flames of the Phoenix,,Elemental Discipline,,
Gong of the Summit,,Elemental Discipline,,
Mist Stance,,Elemental Discipline,,
Ride the Wind,,Elemental Discipline,,
River of Hungry Flame,,Elemental Discipline,,
Rush of the Gale Spirits,,Elemental Discipline,,
Shape the Flowing River,,Elemental Discipline,,
Sweeping Cinder Strike,,Elemental Discipline,,
Water Whip,,Elemental Discipline,,
Wave of Rolling Earth,,Elemental Discipline,,
Actor,,Feat,,
Alert,,Feat,,
Athlete,,Feat,,
Charger,,Feat,,
Crossbow Expert,,Feat,,
Defensive Duelist,,Feat,,
Dual Wielder,,Feat,,
Dungeon Delver,,Feat,,
Durable,,Feat,,
Elemental Adept,,Feat,,
Grappler,,Feat,,
Great Weapon Master,,Feat,,
Healer,,Feat,,
Heavily Armored,,Feat,,
Heavy Armor Master,,Feat,,
Inspiring Leader,,Feat,,
Keen Mind,,Feat,,
Lightly Armored,,Feat,,
Linguist,,Feat,,
Lucky,,Feat,,
Mage Slayer,,Feat,,
Magic Initiate,,Feat,,
Martial Adept,,Feat,,
Medium Armor Master,,Feat,,
Mobile,,Feat,,
Moderately Armored,,Feat,,
Mounted Combatant,,Feat,,
Observant,,Feat,,
