Term,Translation,Context,Reference,Comment
Aarakocra,,Monster,,
Aberration,,Monster Type,,
Aboleth,,Monster,,
Abominable Yeti,,Monster,,
Adult Dragon,,Monster,,
Air Elemental,,Monster,,
Alhoon,,Monster,,
Allosaurus,,Monster,,
Ancient Dragon,,Monster,,
Androsphinx,,Monster,,
Angel,,Monster,,
Animated Armor,,Monster,,
Ankheg,,Monster,,
Ankylosaurus,,Monster,,
Arcanaloth,,Monster,,
Arcanist,,Monster,,
Archdevil,,Monster,,
Archmage,,NPC Archetype,,
Assassin,,NPC Archetype,,
Axe Beak,,Monster,,
Azer,,Monster,,
Bandit,,NPC Archetype,,
Banshee,,Monster,,
Baphomet,,Monster,,
Barbed Devil,,Monster,,
Basilisk,,Monster,,
Bearded Devil,,Monster,,
Beast,,Monster Type,,
Behir,,Monster,,
Beholder,,Monster,,
Berserker,,NPC Archetype,,
Black Dragon,,Monster,,
Black Pudding,,Monster,,
Blink Dog,,Monster,,
Blood Hawk,,Monster,,
Blue Dragon,,Monster,,
Bone Devil,,Monster,,
Bone Naga,,Monster,,
Brass Dragon,,Monster,,
Bronze Dragon,,Monster,,
Bugbear,,Monster,,
Bugbear Chief,,Monster,,
Bulette,,Monster,,
Bullywug,,Monster,,
Burrow,,Monster Speed,,
Cambion,,Monster,,
Carrion Crawler,,Monster,,
Celestial,,Monster Type,,
Centaur,,Monster,,
Chain Devil,,Monster,,
Chasme,,Monster,,
Chimera,,Monster,,
Chuul,,Monster,,
Clay Golem,,Monster,,
Climb,,Monster Speed,,
Cloaker,,Monster,,
Cockatrice,,Monster,,
Commoner,,NPC Archetype,,
Constrictor Snake,,Monster,,
Construct,,Monster Type,,
Copper Dragon,,Monster,,
Couatl,,Monster,,
Could Giant,,Monster,,
Crawling Claw,,Monster,,
Cult Fanatic,,NPC Archetype,,
Cultist,,NPC Archetype,,
Cyclops,,Monster,,
Dao,,Monster,,
Darkmantle,,Monster,,
Death Dog,,Monster,,
Death Knight,,Monster,,
Death Tyrant,,Monster,,
Deep Gnome,,Monster,,
Demilich,,Monster,,
Demogorgon,,Monster,,
Demon Lord,,Monster,,
Deva,,Monster,,
Devil Archduke,,Monster,,
Devil Duke,,Monster,,
Dinosaurs,,Monster,,
Displacer Beast,,Monster,,
Djinni,,Monster,,
Doppleganger,,Monster,,
Dracolich,,Monster,,
Draft Horse,,Monster,,
Dragon,,Monster Type,,
Dragon Turtle,,Monster,,
Dretch,,Monster,,
Drider,,Monster,,
Drow,,Monster,,
Dryad,,Monster,,
Duergar,,Monster,,
Duodrone,,Monster,,
Dust Mephit,,Monster,,
Earth Elemental,,Monster,,
Efreeti,,Monster,,
Elder Brain,,Monster,,
Elemental,,Monster Type,,
Elk,,Monster,,
Empyrean,,Monster,,
Erinye,,Monster,,
Ettercap,,Monster,,
Ettin,,Monster,,
Faerie Dragon,,Monster,,
Fey,,Monster Type,,
Fiend,,Monster Type,,
Fire Elemental,,Monster,,
Fire Giant,,Monster,,
Fire Snake,,Monster,,
Flameskull,,Monster,,
Flesh Golem,,Monster,,
Flumph,,Monster,,
Fly,,Monster Speed,,
Flying Snake,,Monster,,
Flying Sword,,Monster,,
Fomorian,,Monster,,
Frost Giant,,Monster,,
Fungi,,Monster,,
Galeb Duhr,,Monster,,
Gargoyle,,Monster,,
Gas Spore,,Monster,,
Gelatinous Cube,,Monster,,
Genie,,Monster,,
Ghast,,Monster,,
Ghost,,Monster,,
Ghoul,,Monster,,
Giant,,Monster Type,,
Giant Centipede,,Monster,,
Giant Fire Beetle,,Monster,,
Gibbering Mouther,,Monster,,
Gith,,Monster,,
Githyanki,,Monster,,
Githzerai,,Monster,,
Gnoll,,Monster,,
Gnoll Fang,,Monster,,
Goblin,,Monster,,
Gold Dragon,,Monster,,
Gorgon,,Monster,,
Gray Ooze,,Monster,,
Graz'zt,,Monster,,
Greater Devil,,Monster,,
Green Dragon,,Monster,,
Green Hag,,Monster,,
Grell,,Monster,,
Grick,,Monster,,
Grick Alpha,,Monster,,
Griffon,,Monster,,
Grimlock,,Monster,,
Guardian Naga,,Monster,,
Gynosphinx,,Monster,,
Half-Dragon,,Monster,,
Half-Ogre,,Monster,,
Harpy,,Monster,,
Hell Hound,,Monster,,
Helmed Horror,,Monster,,
Hill Giant,,Monster,,
Hippogriff,,Monster,,
Hive Mind,,Monster,,
Hobgoblin,,Monster,,
Homunculus,,Monster,,
Hook Horror,,Monster,,
Horned Devil,,Monster,,
Hover,,Monster Speed,,
Humanoid,,Monster Type,,
Hydra,,Monster,,
Ice Devil,,Monster,,
Ice Mephit,,Monster,,
Illithid,,Monster,,
Imp,,Monster,,
Incubus,,Monster,,
Intellect Devourer,,Monster,,
Invisible Stalker,,Monster,,
Iron Golem,,Monster,,
Jackalwere,,Monster,,
Juiblex,,Monster,,
Kenku,,Monster,,
Kobold,,Monster,,
Kraken,,Monster,,
Kuo-Toa,,Monster,,
Kuo-Toa,,Monster,,
Lair,,Monster-related,,
Lamia,,Monster,,
Legendary Creature,,Monster-related,,
Lemure,,Monster,,
Lesser Devil,,Monster,,
Lich,,Monster,,
Lichdom,,Monster,,
Lizardfolk,,Monster,,
Lolth,,Monster,,
Mage,,NPC Archetype,,
Magma Mephit,,Monster,,
Magmin,,Monster,,
Manticore,,Monster,,
Marid,,Monster,,
Medusa,,Monster,,
Merfolk,,Monster,,
Merilith,,Monster,,
Merrow,,Monster,,
Mezzoloth,,Monster,,
Mimic,,Monster,,
Mind Flayer,,Monster,,
Mind Flayer,,Monster,,
Minotaur,,Monster,,
Minotaur Skeleton,,Monster,,
Modrone,,Monster,,
Monodrone,,Monster,,
Monstrosity,,Monster Type,,
Mucus coating,,Monster,,
Mud Mephit,,Monster,,
Mummy,,Monster,,
Mummy Lord,,Monster,,
Myconid,,Monster,,
Myconid Adult,,Monster,,
Myconid Sovereign,,Monster,,
Myconid Sprout,,Monster,,
Needle Blight,,Monster,,
Night Hag,,Monster,,
Nightmare,,Monster,,
Noble,,NPC Archetype,,
Nothic,,Monster,,
Nycaloth,,Monster,,
Ochre Jelly,,Monster,,
Ogre,,Monster,,
Oni,,Monster,,
Ooze,,Monster Type,,
Orcus,,Monster,,
Orog,,Monster,,
Otyugh,,Monster,,
Owlbear,,Monster,,
Patron,,Monster,,
Pegasus,,Monster,,
Pentadrone,,Monster,,
Peryton,,Monster,,
