Term,Translation,Context,Reference,Comment
Tatical Movement,,Movement,,
Local Movement,,Movement,,
Overland Movement,,Movement,,
Walk,,Movement,,
Hustle,,Movement,,
Run,,Movement,,
Hampered Movement,,Movement,,
Forced March,,Movement,,
Waterborne Movement,,Movement,,
Mounts and Vehicles,,Movement,,
Light Horse,,Movement,,
Heavy Horse,,Movement,,
Pony,,Movement,,
Riding Dog,,Movement,,
Cart,,Movement,,
Wagon,,Movement,,
Raft,,Movement,,
Poled Barge,,Movement,,
Towed Barge,,Movement,,
