Term,Translation,Context,Reference,Comment
Ability Score,,,,
Alignment,,,,
Armor Class (AC),,,,
Caster Level (CL),,,,
Class,,,,
Experience Points (XP),,,,
Feat,,,,
Hit Dice (HD),,,,
Hit Points (HP),,,,
Initiative,,,,
Exceptional Ability,,,,
Spell-like Ability,,,,
Spell Resistance (SR),,,,
Level,,,,
Speed,,,,
Race,,,,
Equipment,,,,
Modifier,,,,
Supernatural Ability,,,,
Multiclassing,,,,
Caster Level Check,,,,
Ability Check,,,,
Acrobatics,,Skill,,
Appraise,,Skill,,
Bluff,,Skill,,
Climb,,Skill,,
Craft,,Skill,,
Diplomacy,,Skill,,
Disable Device,,Skill,,
Disguise,,Skill,,
Escape Artist,,Skill,,
Fly,,Skill,,
Handle Animal,,Skill,,
Heal,,Skill,,
Intimidate,,Skill,,
Knowledge (Arcana),,Skill,,
Knowledge (Dungeoneering),,Skill,,
Knowledge (Engineering),,Skill,,
Knowledge (Geography),,Skill,,
Knowledge (History),,Skill,,
Knowledge (Local),,Skill,,
Knowledge (Nature),,Skill,,
Knowledge (Nobility),,Skill,,
Knowledge (Planes),,Skill,,
Knowledge (Religion),,Skill,,
Linguistics,,Skill,,
Perception,,Skill,,
Perform,,Skill,,
Profession,,Skill,,
Ride,,Skill,,
Sense Motive,,Skill,,
Sleight of Hand,,Skill,,
Spellcraft,,Skill,,
Stealth,,Skill,,
Survival,,Skill,,
Swim,,Skill,,
Use Magic Device,,Skill,,
Strength,,Ability,,
Dexterity,,Ability,,
Constitution,,Ability,,
Intelligence,,Ability,,
Wisdom,,Ability,,
Charisma,,Ability,,
Common,,Language,,
Abyssal,,Language,,
Aklo,,Language,,
Aquan,,Language,,
Auran,,Language,,
Celestial,,Language,,
Draconic,,Language,,
Druidic,,Language,,
Dwarven,,Language,,
Elven,,Language,,
Giant,,Language,,
Gnome,,Language,,
Goblin,,Language,,
Gnoll,,Language,,
Halfling,,Language,,
Ignan,,Language,,
Infernal,,Language,,
Orc,,Language,,
Sylvan,,Language,,
Terran,,Language,,
Undercommon,,Language,,
Medium,,Size,,
Small,,Size,,
Fine,,Size,,
Diminutive,,Size,,
Tiny,,Size,,
Large (tall),,Size,,
Large (long),,Size,,
Huge (tall),,Size,,
Huge (long),,Size,,
Gargantuan (tall),,Size,,
Gargantuan (long),,Size,,
Colossal (tall),,Size,,
Colossal (long),,Size,,
Darkvision,,Trait,,
Defensive Training,,Trait,,
Greed,,Trait,,
Hatred,,Trait,,
Hardy,,Trait,,
Stability,,Trait,,
Stonecunning,,Trait,,
Weapon Familiarity,,Trait,,
Low-Light Vision,,Trait,,
Elven Immunities,,Trait,,
Elven Magic,,Trait,,
Keen Senses,,Trait,,
Gnome Magic,,Trait,,
Illusion Resistance,,Trait,,
