Term,Translation,Context,Reference,Comment
Fast Movement,,Class Feature,,
Air Domain,,Cleric domain,,
Animal Domain,,Cleric domain,,
Artifice Domain,,Cleric domain,,
Chaos Domain,,Cleric domain,,
Charm Domain,,Cleric domain,,
Community Domain,,Cleric domain,,
Death Domain,,Cleric domain,,
Darkness Domain,,Cleric domain,,
Destruction Domain,,Cleric domain,,
Earth Domain,,Cleric domain,,
Evil Domain,,Cleric domain,,
Fire Domain,,Cleric domain,,
Glory Domain,,Cleric domain,,
Good Domain,,Cleric domain,,
Healing Domain,,Cleric domain,,
Knowledge Domain,,Cleric domain,,
Law Domain,,Cleric domain,,
Liberation Domain,,Cleric domain,,
Luck Domain,,Cleric domain,,
Madness Domain,,Cleric domain,,
Magic Domain,,Cleric domain,,
Nobility Domain,,Cleric domain,,
Plant Domain,,Cleric domain,,
Protection Domain,,Cleric domain,,
Repose Domain,,Cleric domain,,
Rune Domain,,Cleric domain,,
Strength Domain,,Cleric domain,,
Sun Domain,,Cleric domain,,
Travel Domain,,Cleric domain,,
Trickery Domain,,Cleric domain,,
War Domain,,Cleric domain,,
Water Domain,,Cleric domain,,
Weather Domain,,Cleric domain,,
Rage,,Feature,,
Rage Powers,,Feature,,
Animal Fury,,Feature,,
Clear Mind,,Feature,,
Fearless Rage,,Feature,,
Guarded Stance,,Feature,,
Increased Damage Reduction,,Feature,,
Internal Fortitude,,Feature,,
Intimidating Glare,,Feature,,
Kockback,,Feature,,
Low-Light Vision,,Feature,,
Mighty Swing,,Feature,,
Moment of Clarity,,Feature,,
Night Vision,,Feature,,
No Escape,,Feature,,
Powerful Blow,,Feature,,
Quick Reflexes,,Feature,,
Raging Climber,,Feature,,
Raging Leaper,,Feature,,
Raging Swimmer,,Feature,,
Renewed Vigor,,Feature,,
Rolling Dodge,,Feature,,
Roused Anger,,Feature,,
Scent,,Feature,,
Strength Surge,,Feature,,
Superstition,,Feature,,
Suprise Accuracy,,Feature,,
Swift Foot,,Feature,,
Terrifying Howl,,Feature,,
Unexpected Strike,,Feature,,
Uncanny Dodge,,Feature,,
Trap Sense,,Feature,,
Improved Uncanny Dodge,,Feature,,
Damage Reduction,,Feature,,
Greater Rage,,Feature,,
Indomitable Will,,Feature,,
Tireless Rage,,Feature,,
Mighty Rage,,Feature,,
Bardic Knowledge,,Feature,,
Bardic Performance,,Feature,,
Countersong,,Feature,,
Distraction,,Feature,,
Fascinate,,Feature,,
Inspire Courage,,Feature,,
Suggestion,,Feature,,
Dirge of Doom,,Feature,,
Inspire Greatness,,Feature,,
Soothing Performance,,Feature,,
Frightening Tune,,Feature,,
Inspire Heroics,,Feature,,
Mass Suggestion,,Feature,,
Deadly Performance,,Feature,,
Cantrip,,Feature,,
Versatile Performance,,Feature,,
Well-Versed,,Feature,,
Lore Master,,Feature,,
Jack-of-All-Trades,,Feature,,
Aura,,Feature,,
Channel Energy,,Feature,,
Domains,,Feature,,
Orisons,,Feature,,
Spontaneous Casting,,Feature,,
Bonus Languages,,Feature,,
Domain Spells,,Feature,,
"Chaotic, Evil, Good, and Lawful Spells",,Feature,,
Lightning Arc,,Feature,,
Electricity Resistance,,Feature,,
Speak With Animals,,Feature,,
Animal Companion,,Feature,,
Artificer's Touch,,Feature,,
Dancing Weapons,,Feature,,
Touch of Chaos,,Feature,,
Chaos Blade,,Feature,,
Dazing Touch,,Feature,,
Charming Smile,,Feature,,
Calming Touch,,Feature,,
Unity,,Feature,,
Touch of Darkness,,Feature,,
Eyes of Darkness,,Feature,,
Bleeding Touch,,Feature,,
Death's Embrace,,Feature,,
Destructive Smite,,Feature,,
Destructive Aura,,Feature,,
Acid Dart,,Feature,,
Acid Resistance,,Feature,,
Touch of Evil,,Feature,,
Scythe of Evil,,Feature,,
Fire Bolt,,Feature,,
Fire Resistance,,Feature,,
Touch of Glory,,Feature,,
Divine Presence,,Feature,,
Touch of Good,,Feature,,
Holy Lance,,Feature,,
Rebuke Death,,Feature,,
Healer's Blessing,,Feature,,
Lore Keeper,,Feature,,
Remote Viewing,,Feature,,
Touch of Law,,Feature,,
Staff of Order,,Feature,,
Liberation,,Feature,,
Freedom's Call,,Feature,,
Bit of Luck,,Feature,,
Good Fortune,,Feature,,
Vision of Madness,,Feature,,
Aura of Madness,,Feature,,
Hand of the Acolyte,,Feature,,
Dispelling Touch,,Feature,,
Inspiring Word,,Feature,,
Leadership,,Feature,,
Wooden Gist,,Feature,,
Bramble Armor,,Feature,,
Resistant Touch,,Feature,,
Aura of Protection,,Feature,,
Gentle Rest,,Feature,,
