Term,Translation,Context,Reference,Comment
Dwarf,,Race,,
Elf,,Race,,
Gnome,,Race,,
Half-elf,,Race,,
Half-orc,,Race,,
Halfling,,Race,,
Human,,Race,,
Barbarian,,Class,,
Bard,,Class,,
Cleric,,Class,,
Druid,,Class,,
Fighter,,Class,,
Monk,,Class,,
Paladin,,Class,,
Ranger,,Class,,
Rogue,,Class,,
Sorcerer,,Class,,
Wizard,,Class,,
Arcane Archer,,Prestige class,,
Arcane Trickster,,Prestige class,,
Assassin,,Prestige class,,
Dragon Disciple,,Prestige class,,
Duelist,,Prestige class,,
Eldritch Knight,,Prestige class,,
Loremaster,,Prestige class,,
Mystic Theurge,,Prestige class,,
Pathfinder Chronicler,,Prestige class,,
Shadowdancer,,Prestige class,,
Prestige Class,,,,
Core Class,,,,
Adept,,NPC class,,
Aristocrat,,NPC class,,
Commoner,,NPC class,,
Expert,,NPC class,,
Warrior,,NPC class,,
