Term,Translation,Context,Reference,Comment
Annihilation,,Open Play,,
Hold At All Costs,,Open Play,,
Death or Glory,,Open Play,,
Deployment Map,,Open Play,,
Slay the Warlord,,Open Play,,
Purge the Enemy,,Open Play,,
Dug-In Positions,,Open Play,,
No Matter the Cost,,Open Play,,
Mission Rules,,Open Play,,
Mission Objectives,,Open Play,,
No Retreat,,Open Play,,
Incisive Attack,,Matched Play,,
Outriders,,Matched Play,,
Encircle,,Matched Play,,
Divide and Conquer,,Matched Play,,
Crossfire,,Matched Play,,
Centre Ground,,Matched Play,,
Forward Push,,Matched Play,,
Ransack,,Matched Play,,
Shifting Front,,Matched Play,,
Retrieval Mission,,Matched Play,,
Front-Line Warfare,,Matched Play,,
The Four Pillars,,Matched Play,,
No Man's Land,,Matched Play,,
Scorched Earth,,Matched Play,,
Vital Intelligence,,Matched Play,,
Lines of Battle,,Matched Play,,
All-Out War,,Matched Play,,
Pathway to Glory,,Matched Play,,
End Game,,Matched Play,,
Progressive,,Matched Play,,
Secondary Objective,,Matched Play,,
Purge the Enemy,,Matched Play,,
Assassinate,,Matched Play,,
Bring It Down,,Matched Play,,
Titan Slayers,,Matched Play,,
Slay the Warlord,,Matched Play,,
"No Mercy, No Respite",,Matched Play,,
Thin Their Ranks,,Matched Play,,
Attrition,,Matched Play,,
"While We Stand, We Fight",,Matched Play,,
First Strike,,Matched Play,,
Battlefield Supremacy,,Matched Play,,
Engage On All Fronts,,Matched Play,,
Linebreaker,,Matched Play,,
Domination,,Matched Play,,
Shadow Operations,,Matched Play,,
Investigate Sites,,Matched Play,,
Repair Teleport Homer,,Matched Play,,
Raise the Banners High,,Matched Play,,
Warpcraft,,Matched Play,,
Mental Interrogation,,Matched Play,,
Psychic Ritual,,Matched Play,,
Abhor the Witch,,Matched Play,,
Investigate Site,,Matched Play,,
Raise Banners,,Matched Play,,
Sweep and Clear,,Matched Play,,
Take and Hold,,Matched Play,,
Surgical Assault,,Matched Play,,
Survey,,Matched Play,,
Deployment Zone,,Matched Play,,
