Term,Translation,Context,Reference,Comment
AX3 Razorshark Strike Fighter,,Aircrafts,,
AX39 Sun Shark Bomber,,Aircrafts,,
Blitza-Bommer,,Aircrafts,,
Burna-Bommer,,Aircrafts,,
Curvus Blackstar,,Aircrafts,,
Crimson Hunter,,Aircrafts,,
Crimson Hunter Exarch,,Aircrafts,,
Dakkajet,,Aircrafts,,
Doom Scythe,,Aircrafts,,
Hemlock Wraithfighter,,Aircrafts,,
Nephilim Jetfighter,,Aircrafts,,
Night Scythe,,Aircrafts,,
Ravenwing Dark Talon,,Aircrafts,,
Razorwing Jetfighter,,Aircrafts,,
Stormfang Gunship,,Aircrafts,,
Stormraven Gunship,,Aircrafts,,
Stormtalon Gunship,,Aircrafts,,
Stormhawk Interceptor,,Aircrafts,,
Stormwolf,,Aircrafts,,
Valkyries,,Aircrafts,,
Voidraven Bomber,,Aircrafts,,
Wazbom Blastjet,,Aircrafts,,
