Term,Translation,Context,Reference,Comment
Accelerated Photon Grenade,,Blast Weapon,,
Aeladri Missile Launcher,,Blast Weapon,,
Airbursting Fragmentation Projector,,Blast Weapon,,
Aquila Macro-Cannon,,Blast Weapon,,
Archeotech Grenade,,Blast Weapon,,
Artillery Barrage,,Blast Weapon,,
Astartes Grenade Launcher,,Blast Weapon,,
Balistus Grenade Launcher,,Blast Weapon,,
Barbed Strangler,,Blast Weapon,,
Balethorn Cannon,,Blast Weapon,,
Baneblade Cannon,,Blast Weapon,,
Battle Cannon,,Blast Weapon,,
Belleros Energy Cannon,,Blast Weapon,,
Bellicatus Missila Array,,Blast Weapon,,
Bile Spurt,,Blast Weapon,,
Bio-Plasma,,Blast Weapon,,
Bio-Plasmic Scream,,Blast Weapon,,
Blackstar Rocket Launcher,,Blast Weapon,,
Blasting Charge,,Blast Weapon,,
Blastmaster,,Blast Weapon,,
Blight Grenade,,Blast Weapon,,
Blind Grenade,,Blast Weapon,,
Bolt Sniper Rifle,,Blast Weapon,,
Brogg's Buzzbomb,,Blast Weapon,,
Bubblechukka,,Blast Weapon,,
Burna Bottles,,Blast Weapon,,
Cache of Demolition Charges,,Blast Weapon,,
Cawl's Wrath,,Blast Weapon,,
Centurion Missile Launcher,,Blast Weapon,,
Cerberus Launcher,,Blast Weapon,,
Choking Spores,,Blast Weapon,,
Cluster Rocket System,,Blast Weapon,,
Concussion Grenade,,Blast Weapon,,
Cyclone Missile Launcher,,Blast Weapon,,
D-Cannon,,Blast Weapon,,
Da Boomer,,Blast Weapon,,
Da Souped-up Shokka,,Blast Weapon,,
Dark Scythe,,Blast Weapon,,
Death Ray,,Blast Weapon,,
Deathstrike Missile,,Blast Weapon,,
Deathwatch Frag Cannon,,Blast Weapon,,
Deathwind Launcher,,Blast Weapon,,
Deffkannon,,Blast Weapon,,
Demolisher Cannon,,Blast Weapon,,
Demolition Charge,,Blast Weapon,,
Disruptor Missile Launcher,,Blast Weapon,,
Doomsday Cannon,,Blast Weapon,,
Doomweaver,,Blast Weapon,,
Earthshaker Cannon,,Blast Weapon,,
Ectoplasma Cannon,,Blast Weapon,,
Eradication Beamer,,Blast Weapon,,
Eradication Ray,,Blast Weapon,,
Eradicator Nova Cannon,,Blast Weapon,,
Executioner Plasma Cannon,,Blast Weapon,,
Exorcist Conflagration Rockets,,Blast Weapon,,
Exorcist Missile Launcher,,Blast Weapon,,
Frag Bomb,,Blast Weapon,,
Frag Cannon,,Blast Weapon,,
Frag Grenade,,Blast Weapon,,
Fragstorm Grenade Launcher,,Blast Weapon,,
Fury of Mars,,Blast Weapon,,
Fusion Collider,,Blast Weapon,,
Grenade Harness,,Blast Weapon,,
Grenade Launcher,,Blast Weapon,,
Grenadier Gauntlet,,Blast Weapon,,
Grotzooka,,Blast Weapon,,
Havoc Launcher,,Blast Weapon,,
Hammer of Sunderance,,Blast Weapon,,
Haywire Cannon,,Blast Weapon,,
Heavy Mining Laser,,Blast Weapon,,
Heavy Mortar,,Blast Weapon,,
Heavy Plasma Cannon,,Blast Weapon,,
Heavy Squig Launcha,,Blast Weapon,,
Heavy Venom Cannon,,Blast Weapon,,
Hellbrute Plasma Cannon,,Blast Weapon,,
Helfrost Cannon,,Blast Weapon,,
Helfrost Destructor,,Blast Weapon,,
Hellhammer Cannon,,Blast Weapon,,
High-Capacitance Railgun,,Blast Weapon,,
Hyper Blight Grenade,,Blast Weapon,,
Icarus Rocket Pod,,Blast Weapon,,
Ichor Cannon,,Blast Weapon,,
Ion Accelerator,,Blast Weapon,,
